"Key";"Type";"Desc";"English";"Українська [uk]"
"Story/Utopia/Voiceline/HyenaIntro4";"Text";"";"The ocean broke the Forward Scouts. Now my army will finish the job.";"The ocean broke the Forward Scouts. Now my army will finish the job."
"Story/Utopia/Voiceline/IkaDialogue1";"Text";"";"So annoying.";"So annoying."
"Story/Utopia/Voiceline/IkaDialogue2";"Text";"";"I’m a trader. I was only here to move some produce.";"I’m a trader. I was only here to move some produce."
"Story/Utopia/Voiceline/IkaDialogue3";"Text";"";"Then, boom! Rabid hyenas everywhere!";"Then, boom! Rabid hyenas everywhere!"
"Story/Utopia/Voiceline/IkaDialogue4";"Text";"";"All of a sudden, I’m locked in!";"All of a sudden, I’m locked in!"
"Story/Utopia/Voiceline/IkaDialogue5";"Text";"";"Worst part, Olof ruined a bunch of my goods. Prick.";"Worst part, Olof ruined a bunch of my goods. Prick."
"Story/Utopia/Voiceline/IsacDialogue1";"Text";"";"It's over now. But boy was that close!";"It's over now. But boy was that close!"
"Story/Utopia/Voiceline/IsacDialogue2";"Text";"";"I tried to deal with those hounds at first.";"I tried to deal with those hounds at first."
"Story/Utopia/Voiceline/IsacDialogue3";"Text";"";"But there were too many of them.";"But there were too many of them."
"Story/Utopia/Voiceline/IsacDialogue4";"Text";"";"We’re lucky no one got seriously hurt.";"We’re lucky no one got seriously hurt."
"Story/Utopia/Voiceline/IsacDialogue5";"Text";"";"Oh, this? It’s just a scratch, don’t worry.";"Oh, this? It’s just a scratch, don’t worry."
"Story/Utopia/Voiceline/JohanDialogue1";"Text";"";"I’m so unlucky!";"I’m so unlucky!"
"Story/Utopia/Voiceline/JohanDialogue2";"Text";"";"I fled Tangaroa during the riots. Such a crazy day.";"I fled Tangaroa during the riots. Such a crazy day."
"Story/Utopia/Voiceline/JohanDialogue3";"Text";"";"Then I found Utopia. And this whole thing happened.";"Then I found Utopia. And this whole thing happened."
"Story/Utopia/Voiceline/JohanDialogue4";"Text";"";"I just want to tend to a garden in peace. Maybe I can do that now!";"I just want to tend to a garden in peace. Maybe I can do that now!"
"Story/Utopia/Voiceline/KartikaDialogue1";"Text";"";"Leaving already?";"Leaving already?"
"Story/Utopia/Voiceline/KartikaDialogue2";"Text";"";"The ocean’s wider than ever and there’s always more to explore.";"The ocean’s wider than ever and there’s always more to explore."
"Story/Utopia/Voiceline/KartikaDialogue3";"Text";"";"I’d love to head out one day. See what’s left of the world.";"I’d love to head out one day. See what’s left of the world."
"Story/Utopia/Voiceline/KartikaDialogue4";"Text";"";"Good luck out there.";"Good luck out there."
"Story/Utopia/Voiceline/LarryDialogue1";"Text";"";"I can’t believe we ended up like that.";"I can’t believe we ended up like that."
"Story/Utopia/Voiceline/LarryDialogue2";"Text";"";"Listening to Olof was a mistake to say the least.";"Listening to Olof was a mistake to say the least."
"Story/Utopia/Voiceline/LarryDialogue3";"Text";"";"I need to get better at reading people.";"I need to get better at reading people."
"Story/Utopia/Voiceline/LarryDialogue4";"Text";"";"In hindsight, yes. Olof did seem a bit maniacal.";"In hindsight, yes. Olof did seem a bit maniacal."
"Story/Utopia/Voiceline/LarryDialogue5";"Text";"";"Don’t worry, I’m disappointed in myself too.";"Don’t worry, I’m disappointed in myself too."
"Story/Utopia/Voiceline/LarsFight1";"Text";"";"Good boy, Alpha! Good boy!";"Good boy, Alpha! Good boy!"
"Story/Utopia/Voiceline/LarsFight10";"Text";"";"Kill.";"Kill."
"Story/Utopia/Voiceline/LarsFight11";"Text";"";"You and all the other disgusting rafters will pay.";"You and all the other disgusting rafters will pay."
"Story/Utopia/Voiceline/LarsFight12";"Text";"";"I am the only one who can fulfill this role.";"I am the only one who can fulfill this role."
"Story/Utopia/Voiceline/LarsFight13";"Text";"";"Can’t you see? The rafters would see this Utopia in ruins.";"Can’t you see? The rafters would see this Utopia in ruins."
"Story/Utopia/Voiceline/LarsFight14";"Text";"";"I will rise above you all.";"I will rise above you all."
"Story/Utopia/Voiceline/LarsFight15";"Text";"";"Your struggle ends here!";"Your struggle ends here!"
"Story/Utopia/Voiceline/LarsFight16";"Text";"";"I will bring order to this damn place, whether you want it or not!";"I will bring order to this damn place, whether you want it or not!"
"Story/Utopia/Voiceline/LarsFight2";"Text";"";"It’s useless! His hide is thick, and his will is iron!";"It’s useless! His hide is thick, and his will is iron!"
"Story/Utopia/Voiceline/LarsFight3";"Text";"";"A true soldier never falters.";"A true soldier never falters."
"Story/Utopia/Voiceline/LarsFight4";"Text";"";"Alpha! Get going!";"Alpha! Get going!"
"Story/Utopia/Voiceline/LarsFight5";"Text";"";"You can gnaw on their bones later!";"You can gnaw on their bones later!"
"Story/Utopia/Voiceline/LarsFight6";"Text";"";"You’ll get a real treat once victory is ours!";"You’ll get a real treat once victory is ours!"
"Story/Utopia/Voiceline/LarsFight7";"Text";"";"Charge, Alpha, charge!";"Charge, Alpha, charge!"
"Story/Utopia/Voiceline/LarsFight8";"Text";"";"Destroy them!";"Destroy them!"
"Story/Utopia/Voiceline/LarsFight9";"Text";"";"You’re the only one I can trust, Alpha.";"You’re the only one I can trust, Alpha."
"Story/Utopia/Voiceline/LarsFightExit1";"Text";"";"No, no! Alpha, you failure!";"No, no! Alpha, you failure!"
"Story/Utopia/Voiceline/LarsFightExit2";"Text";"";"All of this for nothing!";"All of this for nothing!"
"Story/Utopia/Voiceline/LarsIntro1";"Text";"";"Out of all my creations, Alpha is a true warrior. A survivor.";"Out of all my creations, Alpha is a true warrior. A survivor."
"Story/Utopia/Voiceline/LarsIntro2";"Text";"";"You see, the weak are singled out. The strong remain. You Forward Scouts were the same.";"You see, the weak are singled out. The strong remain. You Forward Scouts were the same."
"Story/Utopia/Voiceline/LarsIntro3";"Text";"";"You build yourselves up from nothing. You keep going. Up until you encounter something stronger.";"You build yourselves up from nothing. You keep going. Up until you encounter something stronger."
"Story/Utopia/Voiceline/LarsIntro4";"Text";"";"Alpha, in position! Kill!";"Alpha, in position! Kill!"
"Story/Utopia/Voiceline/MarketplaceExit1";"Text";"";"Tactical retreat! Regroup, regroup!";"Tactical retreat! Regroup, regroup!"
"Story/Utopia/Voiceline/MarketplaceExit2";"Text";"";"Infantry! Ready for charge!";"Infantry! Ready for charge!"
"Story/Utopia/Voiceline/MarketplaceIntro1";"Text";"";"You had your chance to leave.";"You had your chance to leave."
"Story/Utopia/Voiceline/MarketplaceIntro2";"Text";"";"But you just won't listen.";"But you just won't listen."
"Story/Utopia/Voiceline/MarketplaceIntro3";"Text";"";"So fine. Have it your way! Welcome to Utopia!";"So fine. Have it your way! Welcome to Utopia!"
"Story/Utopia/Voiceline/MarketplaceThrow1";"Text";"";"Frag out!";"Frag out!"
"Story/Utopia/Voiceline/MarketplaceThrow10";"Text";"";"Stand still!";"Stand still!"
"Story/Utopia/Voiceline/MarketplaceThrow11";"Text";"";"I’ll lock you up with the rest!";"I’ll lock you up with the rest!"
"Story/Utopia/Voiceline/MarketplaceThrow12";"Text";"";"This rabble deserves nothing.";"This rabble deserves nothing."
"Story/Utopia/Voiceline/MarketplaceThrow13";"Text";"";"If you knew better you would turn around.";"If you knew better you would turn around."
"Story/Utopia/Voiceline/MarketplaceThrow14";"Text";"";"My army will crush you!";"My army will crush you!"
"Story/Utopia/Voiceline/MarketplaceThrow15";"Text";"";"I could do this all day!";"I could do this all day!"
"Story/Utopia/Voiceline/MarketplaceThrow16";"Text";"";"Do you want me to blow it all to pieces?";"Do you want me to blow it all to pieces?"
"Story/Utopia/Voiceline/MarketplaceThrow17";"Text";"";"Look what you’re making me do!";"Look what you’re making me do!"
"Story/Utopia/Voiceline/MarketplaceThrow18";"Text";"";"Leave Utopia! Never return!";"Leave Utopia! Never return!"
"Story/Utopia/Voiceline/MarketplaceThrow2";"Text";"";"I’ve given you chances. You could have left at any time!";"I’ve given you chances. You could have left at any time!"
"Story/Utopia/Voiceline/MarketplaceThrow3";"Text";"";"Enjoy the fireworks!";"Enjoy the fireworks!"
"Story/Utopia/Voiceline/MarketplaceThrow4";"Text";"";"All of this is mine!";"All of this is mine!"
"Story/Utopia/Voiceline/MarketplaceThrow5";"Text";"";"Give up!";"Give up!"
"Story/Utopia/Voiceline/MarketplaceThrow6";"Text";"";"You think it’s easy to rule?";"You think it’s easy to rule?"
"Story/Utopia/Voiceline/MarketplaceThrow7";"Text";"";"You’ll accomplish nothing here. Leave!";"You’ll accomplish nothing here. Leave!"
"Story/Utopia/Voiceline/MarketplaceThrow8";"Text";"";"Stop that.";"Stop that."
"Story/Utopia/Voiceline/MarketplaceThrow9";"Text";"";"Why can’t you listen? None of you ever listen!";"Why can’t you listen? None of you ever listen!"
"Story/Utopia/Voiceline/MaxDialogue1";"Text";"";"Wow, how could this possibly have happened?";"Wow, how could this possibly have happened?"
"Story/Utopia/Voiceline/MaxDialogue2";"Text";"";"A mysterious army dude appears with rabid hyenas in cages.";"A mysterious army dude appears with rabid hyenas in cages."
"Story/Utopia/Voiceline/MaxDialogue3";"Text";"";"And everyone just goes along with it.";"And everyone just goes along with it."
"Story/Utopia/Voiceline/MaxDialogue4";"Text";"";"I don’t think I can say ‘I told you so’ enough.";"I don’t think I can say ‘I told you so’ enough."
"Story/Utopia/Voiceline/NoahDialogue1";"Text";"";"We need to be more careful in the future.";"We need to be more careful in the future."
"Story/Utopia/Voiceline/NoahDialogue2";"Text";"";"Olof happened because we were naive.";"Olof happened because we were naive."
"Story/Utopia/Voiceline/NoahDialogue3";"Text";"";"So we should be more vigilant in the future.";"So we should be more vigilant in the future."
"Story/Utopia/Voiceline/NoahDialogue4";"Text";"";"But we also can’t lose what makes Utopia great.";"But we also can’t lose what makes Utopia great."
"Story/Utopia/Voiceline/NoahDialogue5";"Text";"";"We need to be strong, and not let fear guide us.";"We need to be strong, and not let fear guide us."
"Story/Utopia/Voiceline/OliverDialogue1";"Text";"";"Those hyenas were so rude.";"Those hyenas were so rude."
"Story/Utopia/Voiceline/OliverDialogue2";"Text";"";"Bad enough we have to deal with an endless ocean.";"Bad enough we have to deal with an endless ocean."
"Story/Utopia/Voiceline/OliverDialogue3";"Text";"";"Now there’s these rabid animals also.";"Now there’s these rabid animals also."
"Story/Utopia/Voiceline/OliverDialogue4";"Text";"";"Ugh. So tired of this!";"Ugh. So tired of this!"
"Story/Utopia/Voiceline/OliverDialogue5";"Text";"";"Oh right, thanks for helping out.";"Oh right, thanks for helping out."
"Story/Utopia/Voiceline/OlofBigJusticeScale1";"Text";"";"Look around. The filthy rafters turned luxury apartments into a scrapyard. 
";"Look around. The filthy rafters turned luxury apartments into a scrapyard. 
"
"Story/Utopia/Voiceline/OlofBigJusticeScale2";"Text";"";"Relieving them of the responsibility was the only decent thing I could do for them.";"Relieving them of the responsibility was the only decent thing I could do for them."
"Story/Utopia/Voiceline/OlofBigJusticeScale3";"Text";"";"I can’t believe how ungrateful all of you are.";"I can’t believe how ungrateful all of you are."
"Story/Utopia/Voiceline/OlofCaught1";"Text";"";"[Groaning]";"[Groaning]"
"Story/Utopia/Voiceline/OlofCaught2";"Text";"";"Cut me down!";"Cut me down!"
"Story/Utopia/Voiceline/OlofCaught3";"Text";"";"Listen to me, damn it.";"Listen to me, damn it."
"Story/Utopia/Voiceline/OlofCaught4";"Text";"";"[Muttering]";"[Muttering]"
"Story/Utopia/Voiceline/OlofCaught5";"Text";"";"I’ll burn this place to the ground";"I’ll burn this place to the ground"
"Story/Utopia/Voiceline/OlofCaught6";"Text";"";"You don’t deserve any of it.";"You don’t deserve any of it."
"Story/Utopia/Voiceline/OlofCaught7";"Text";"";"Filthy rafters.";"Filthy rafters."
"Story/Utopia/Voiceline/OlofDialogue1";"Text";"";"Are you happy now?";"Are you happy now?"
"Story/Utopia/Voiceline/OlofDialogue10";"Text";"";"Nothing you fools can come up with will rival what came before.";"Nothing you fools can come up with will rival what came before."
"Story/Utopia/Voiceline/OlofDialogue11";"Text";"";"Hey, are you listening to me?!";"Hey, are you listening to me?!"
"Story/Utopia/Voiceline/OlofDialogue12_1";"Text";"";"The Floating City Project was wrought with failures. Why? I spent a fortune on Tangaroa.";"The Floating City Project was wrought with failures. Why? I spent a fortune on Tangaroa."
"Story/Utopia/Voiceline/OlofDialogue12_2";"Text";"";"Every expert told me we were on schedule. How do you explain that?";"Every expert told me we were on schedule. How do you explain that?"
"Story/Utopia/Voiceline/OlofDialogue12_3";"Text";"";"Lazy workers. Lazy, stupid workers.";"Lazy workers. Lazy, stupid workers."
"Story/Utopia/Voiceline/OlofDialogue13_1";"Text";"";"I was the majority shareholder of the Floating City Project of Tangaroa. ";"I was the majority shareholder of the Floating City Project of Tangaroa. "
"Story/Utopia/Voiceline/OlofDialogue13_2";"Text";"";"Imagine the cost if we hadn’t made it out to sea, like the other cities? No, that wasn’t an option.";"Imagine the cost if we hadn’t made it out to sea, like the other cities? No, that wasn’t an option."
"Story/Utopia/Voiceline/OlofDialogue14_1";"Text";"";"I did not abandon Tangaroa. My private consultants made it very clear.";"I did not abandon Tangaroa. My private consultants made it very clear."
"Story/Utopia/Voiceline/OlofDialogue14_2";"Text";"";"The city wouldn’t last a year out at sea. ";"The city wouldn’t last a year out at sea. "
"Story/Utopia/Voiceline/OlofDialogue14_3";"Text";"";"Vasagatan was my way of saving a few souls from that fate.";"Vasagatan was my way of saving a few souls from that fate."
"Story/Utopia/Voiceline/OlofDialogue15";"Text";"";"They would have drowned anyway.";"They would have drowned anyway."
"Story/Utopia/Voiceline/OlofDialogue16";"Text";"";"I am a good man. I am a good man.";"I am a good man. I am a good man."
"Story/Utopia/Voiceline/OlofDialogue17_1";"Text";"";"The Lurkers weren’t entirely useless. ";"The Lurkers weren’t entirely useless. "
"Story/Utopia/Voiceline/OlofDialogue17_2";"Text";"";"They wrought chaos onboard Tangaroa.";"They wrought chaos onboard Tangaroa."
"Story/Utopia/Voiceline/OlofDialogue17_3";"Text";"";"Any decent fighting force could have brought order within a day or two.";"Any decent fighting force could have brought order within a day or two."
"Story/Utopia/Voiceline/OlofDialogue17_4";"Text";"";"None of them were ready for reality. When there’s only food for one in ten, nine have to go.";"None of them were ready for reality. When there’s only food for one in ten, nine have to go."
"Story/Utopia/Voiceline/OlofDialogue18_1";"Text";"";"The hyenas of Caravan Town were easily rounded up.";"The hyenas of Caravan Town were easily rounded up."
"Story/Utopia/Voiceline/OlofDialogue18_2";"Text";"";"Their efficiency and discipline was unrivaled. ";"Their efficiency and discipline was unrivaled. "
"Story/Utopia/Voiceline/OlofDialogue18_3";"Text";"";"Had I only gotten a few more off that barren rock, then you would have never stood a chance.";"Had I only gotten a few more off that barren rock, then you would have never stood a chance."
"Story/Utopia/Voiceline/OlofDialogue19_1";"Text";"";"If you hadn’t interfered, I would be out there reinstating law and order. ";"If you hadn’t interfered, I would be out there reinstating law and order. "
"Story/Utopia/Voiceline/OlofDialogue19_2";"Text";"";"Have you ever done anything of such importance?";"Have you ever done anything of such importance?"
"Story/Utopia/Voiceline/OlofDialogue2";"Text";"";"These idiots won’t get anything done. They’ll starve soon, and so will you.";"These idiots won’t get anything done. They’ll starve soon, and so will you."
"Story/Utopia/Voiceline/OlofDialogue20_1";"Text";"";"Yes, we all heard about the failure of the Forward Scouts.";"Yes, we all heard about the failure of the Forward Scouts."
"Story/Utopia/Voiceline/OlofDialogue20_2";"Text";"";"Those naive idiots couldn’t even beat the waves. What, you think you’re any different?";"Those naive idiots couldn’t even beat the waves. What, you think you’re any different?"
"Story/Utopia/Voiceline/OlofDialogue21";"Text";"";"Look at these people. They have no control. No power. They need me.";"Look at these people. They have no control. No power. They need me."
"Story/Utopia/Voiceline/OlofDialogue3";"Text";"";"Disorganized rabble.";"Disorganized rabble."
"Story/Utopia/Voiceline/OlofDialogue4";"Text";"";"You need a strong leader. Not these weaklings.";"You need a strong leader. Not these weaklings."
"Story/Utopia/Voiceline/OlofDialogue5";"Text";"";"This is what I get for trusting my army.";"This is what I get for trusting my army."
"Story/Utopia/Voiceline/OlofDialogue6";"Text";"";"If you have to do something, do it yourself.";"If you have to do something, do it yourself."
"Story/Utopia/Voiceline/OlofDialogue7";"Text";"";"They don’t have the guts to rule.";"They don’t have the guts to rule."
"Story/Utopia/Voiceline/OlofDialogue8_1";"Text";"";"It’s the same story over and over again. The floating city project. Vasagatan. Tangaroa. ";"It’s the same story over and over again. The floating city project. Vasagatan. Tangaroa. "
"Story/Utopia/Voiceline/OlofDialogue8_2";"Text";"";"Failures brought on by weak spirits and undisciplined men.";"Failures brought on by weak spirits and undisciplined men."
"Story/Utopia/Voiceline/OlofDialogue9";"Text";"";"You’re nothing but beasts in the rubble.";"You’re nothing but beasts in the rubble."
"Story/Utopia/Voiceline/OlofFinal1";"Text";"";"Get back!";"Get back!"
"Story/Utopia/Voiceline/OlofFinal2";"Text";"";"There’s nothing you can do. Stay away. All of this is mine.";"There’s nothing you can do. Stay away. All of this is mine."
"Story/Utopia/Voiceline/OlofFinal3";"Text";"";"You think you can change anything?";"You think you can change anything?"
"Story/Utopia/Voiceline/OlofFinal4";"Text";"";"Without me, this Utopia will burn.";"Without me, this Utopia will burn."
"Story/Utopia/Voiceline/OlofFinal5";"Text";"";"I am your saviour!";"I am your saviour!"
"Story/Utopia/Voiceline/OlofFinal6";"Text";"";"Stay away!";"Stay away!"
"Story/Utopia/Voiceline/OlofSmallJusticeScale1";"Text";"";"I will only say this once. Leave on your raft. Leave Utopia to me.";"I will only say this once. Leave on your raft. Leave Utopia to me."
"Story/Utopia/Voiceline/OlofSmallJusticeScale2";"Text";"";"Or else the Forward Scouts ends with you.";"Or else the Forward Scouts ends with you."
"Story/Utopia/Voiceline/RebeccaDialogue1";"Text";"";"This place is a mess.";"This place is a mess."
"Story/Utopia/Voiceline/RebeccaDialogue2";"Text";"";"There’s hyena hair everywhere!";"There’s hyena hair everywhere!"
"Story/Utopia/Voiceline/RebeccaDialogue3";"Text";"";"It’ll take days to clean up the towers.";"It’ll take days to clean up the towers."
"Story/Utopia/Voiceline/RebeccaDialogue4";"Text";"";"I hope the council makes Olof clean it up himself.";"I hope the council makes Olof clean it up himself."
"Story/Utopia/Voiceline/TimurDialogue1";"Text";"";"The future is bright!";"The future is bright!"
"Story/Utopia/Voiceline/TimurDialogue2";"Text";"";"I was so scared Utopia would fall into ruin after this incident.";"I was so scared Utopia would fall into ruin after this incident."
"Story/Utopia/Voiceline/TimurDialogue3";"Text";"";"Now I'm hopeful again.";"Now I'm hopeful again."
"Story/Utopia/Voiceline/TimurDialogue4";"Text";"";"We can do it! We can rebuild!";"We can do it! We can rebuild!"
"Story/Utopia/Voiceline/ToshiroDialogue1";"Text";"";"You deserve all the credit in the world.";"You deserve all the credit in the world."
"Story/Utopia/Voiceline/ToshiroDialogue2";"Text";"";"You know, I was almost a Forward Scout myself.";"You know, I was almost a Forward Scout myself."
"Story/Utopia/Voiceline/ToshiroDialogue3";"Text";"";"Ended up as working in a raft town instead.";"Ended up as working in a raft town instead."
"Story/Utopia/Voiceline/ToshiroDialogue4";"Text";"";"But I’ll tell you, I’m a really good at building rafts.";"But I’ll tell you, I’m a really good at building rafts."
"Story/Utopia/Voiceline/ToshiroDialogue5";"Text";"";"Used to build boats before the flood. Wasn’t as fun, if I’m honest.";"Used to build boats before the flood. Wasn’t as fun, if I’m honest."
"Story/Utopia/Voiceline/ToshiroDialogue6";"Text";"";"Rafts are magical in their own way, don't you agree?";"Rafts are magical in their own way, don't you agree?"
"Story/Utopia/Voiceline/UllaDialogue1";"Text";"";"There is something deeply wrong with those hyenas.";"There is something deeply wrong with those hyenas."
"Story/Utopia/Voiceline/UllaDialogue2";"Text";"";"I lived on Temperance for a bit. As a researcher.";"I lived on Temperance for a bit. As a researcher."
"Story/Utopia/Voiceline/UllaDialogue3";"Text";"";"Olof’s hyenas seem to be afflicted by some kind of rapid mutation.";"Olof’s hyenas seem to be afflicted by some kind of rapid mutation."
"Story/Utopia/Voiceline/UllaDialogue4";"Text";"";"I’ll be sure to investigate on behalf of the council.";"I’ll be sure to investigate on behalf of the council."
"Story/Utopia/Voiceline/VanessaDialogue1";"Text";"";"This place is a mess.";"This place is a mess."
"Story/Utopia/Voiceline/VanessaDialogue2";"Text";"";"There’s hyena hair everywhere!";"There’s hyena hair everywhere!"
"Story/Utopia/Voiceline/VanessaDialogue3";"Text";"";"It’ll take days to clean up the towers.";"It’ll take days to clean up the towers."
"Story/Utopia/Voiceline/VanessaDialogue4";"Text";"";"I hope the council makes Olof clean it up himself.";"I hope the council makes Olof clean it up himself."
"Story/Utopia/Voiceline/ZayanaDialogue1";"Text";"";"It’s you!";"Це ти!"
"Story/Utopia/Voiceline/ZayanaDialogue2";"Text";"";"Don’t know what we would've done without you.";"Don’t know what we would've done without you."
"Story/Utopia/Voiceline/ZayanaDialogue3";"Text";"";"Thank you, Forward Scout.";"Thank you, Forward Scout."
"Story/Utopia/Voiceline/ZayanaDialogue4";"Text";"";"We can go back to normal now.";"We can go back to normal now."
"Story/Varuna/Grabber1";"Text";"";"Varuna Point has all too many holes in it. Makes it easy to move unnoticed.

Today I nicked a hammer. Yesterday I took some dried meat from the foreman’s stash. It’s less fun taking food, since it spoils, eventually.  The watch I got from the loud-mouthed driller was way more exciting.

I want to grab something even better tonight.";"Varuna Point has all too many holes in it. Makes it easy to move unnoticed.

Today I nicked a hammer. Yesterday I took some dried meat from the foreman’s stash. It’s less fun taking food, since it spoils, eventually.  The watch I got from the loud-mouthed driller was way more exciting.

I want to grab something even better tonight."
"Story/Varuna/Grabber2";"Text";"";"I heard them talking about me this morning. They call me the Grabber. It’s growing on me.

I moved my cache. It’s higher up now, on the new floor. Right under their noses. The foreman complained about the lack of cameras. Ha! Like that’d matter. I wouldn’t get caught even if the walls had eyes.

I’m starting to get good at this.
~The Grabber";"I heard them talking about me this morning. They call me the Grabber. It’s growing on me.

I moved my cache. It’s higher up now, on the new floor. Right under their noses. The foreman complained about the lack of cameras. Ha! Like that’d matter. I wouldn’t get caught even if the walls had eyes.

I’m starting to get good at this.
~The Grabber"
"Story/Varuna/Grabber3";"Text";"";"We don’t work on new floors anymore. Everyone is scared of ""the Grabber"". There’s talk about leaving before ''the water gets even higher''.  Leaving for that other construction project, the one taken over by rafters. They call it Utopia.

Ha! The only utopia I need is right here! I’ve started to secure the tower. As long as I live no one will claim my treasure. No one will reach my nest!
~The Grabber";"We don’t work on new floors anymore. Everyone is scared of ""the Grabber"". There’s talk about leaving before ''the water gets even higher''.  Leaving for that other construction project, the one taken over by rafters. They call it Utopia.

Ha! The only utopia I need is right here! I’ve started to secure the tower. As long as I live no one will claim my treasure. No one will reach my nest!
~The Grabber"
"Story/Varuna/Grabber4";"Text";"";"When people come by they don’t stay for long. Why? Probably because I keep stealing their stuff…

Today it was a man named Ruben and a boy named Detto. They were caught in a storm and needed supplies. When they fell asleep I nicked a whole set of tools. Crude stuff. But still good!
In the morning they were so freaked out they sailed away immediately. Hilarious!
~The Grabber";"When people come by they don’t stay for long. Why? Probably because I keep stealing their stuff…

Today it was a man named Ruben and a boy named Detto. They were caught in a storm and needed supplies. When they fell asleep I nicked a whole set of tools. Crude stuff. But still good!
In the morning they were so freaked out they sailed away immediately. Hilarious!
~The Grabber"
"Story/Varuna/Grabber5";"Text";"";"A man talking to dolls arrived yesterday. I found his loud discussions entertaining. Maybe I miss company a bit too.

The man climbed high up into the crane with a satellite dish. He called out on his little radio for ‘Astrid’. It looked… unsuccessful.

I might have… stolen one of his dolls. ‘Miranda’ is her name. The man left an hour ago, after freaking out all day over it! Ha! So many strange people these days.
~The Grabber";"A man talking to dolls arrived yesterday. I found his loud discussions entertaining. Maybe I miss company a bit too.

The man climbed high up into the crane with a satellite dish. He called out on his little radio for ‘Astrid’. It looked… unsuccessful.

I might have… stolen one of his dolls. ‘Miranda’ is her name. The man left an hour ago, after freaking out all day over it! Ha! So many strange people these days.
~The Grabber"
"Story/Varuna/Grabber6";"Text";"";"I would be bored these days, if the ‘motherlode’ wasn’t on the forefront of my mind. The water stole it from me. I should’ve acted sooner. 

Now there’s trouble in the way. It’s risky to deal with, but it might be worth it. The thought gnaws at me.

But it’s just one shark. How hard could it be?
~The Grabber";"I would be bored these days, if the ‘motherlode’ wasn’t on the forefront of my mind. The water stole it from me. I should’ve acted sooner. 

Now there’s trouble in the way. It’s risky to deal with, but it might be worth it. The thought gnaws at me.

But it’s just one shark. How hard could it be?
~The Grabber"
"Story/Varuna/Voiceline/Grabber1_1";"Text";"";"Varuna Point has all too many holes in it. Makes it easy to move unnoticed.";"Varuna Point has all too many holes in it. Makes it easy to move unnoticed."
"Story/Varuna/Voiceline/Grabber1_2";"Text";"";"Today I nicked a hammer. Yesterday I took some dried meat from the foreman’s stash.";"Today I nicked a hammer. Yesterday I took some dried meat from the foreman’s stash."
"Story/Varuna/Voiceline/Grabber1_3";"Text";"";"It’s less fun taking food, since it spoils, eventually. ";"It’s less fun taking food, since it spoils, eventually. "
"Story/Varuna/Voiceline/Grabber1_4";"Text";"";"The watch I got from the loud-mouthed driller was way more exciting.";"The watch I got from the loud-mouthed driller was way more exciting."
"Story/Varuna/Voiceline/Grabber1_5";"Text";"";"I want to grab something even better tonight.";"I want to grab something even better tonight."
"Story/Varuna/Voiceline/Grabber2_1";"Text";"";"I heard them talking about me this morning. They call me the Grabber. It’s growing on me.";"I heard them talking about me this morning. They call me the Grabber. It’s growing on me."
"Story/Varuna/Voiceline/Grabber2_2";"Text";"";"I moved my cache. It’s higher up now, on the new floor. Right under their noses.";"I moved my cache. It’s higher up now, on the new floor. Right under their noses."
"Story/Varuna/Voiceline/Grabber2_3";"Text";"";"The foreman complained about the lack of cameras. Ha! Like that’d matter.";"The foreman complained about the lack of cameras. Ha! Like that’d matter."
"Story/Varuna/Voiceline/Grabber2_4";"Text";"";"I wouldn’t get caught even if the walls had eyes. I’m starting to get good at this.";"I wouldn’t get caught even if the walls had eyes. I’m starting to get good at this."
"Story/Varuna/Voiceline/Grabber3_1";"Text";"";"We don’t work on new floors anymore. Everyone is scared of ""the Grabber"".";"We don’t work on new floors anymore. Everyone is scared of ""the Grabber""."
"Story/Varuna/Voiceline/Grabber3_2";"Text";"";"There’s talk about leaving before ''the water gets even higher''. ";"There’s talk about leaving before ''the water gets even higher''. "
"Story/Varuna/Voiceline/Grabber3_3";"Text";"";"Leaving for that other construction project, the one taken over by rafters.";"Leaving for that other construction project, the one taken over by rafters."
"Story/Varuna/Voiceline/Grabber3_4";"Text";"";"They call it Utopia. Ha! The only utopia I need is right here! I’ve started to secure the tower.";"They call it Utopia. Ha! The only utopia I need is right here! I’ve started to secure the tower."
"Story/Varuna/Voiceline/Grabber3_5";"Text";"";"As long as I live no one will claim my treasure. No one will reach my nest!";"As long as I live no one will claim my treasure. No one will reach my nest!"
"Story/Varuna/Voiceline/Grabber4_1";"Text";"";"When people come by they don’t stay for long. Why? Probably because I keep stealing their stuff…";"When people come by they don’t stay for long. Why? Probably because I keep stealing their stuff…"
"Story/Varuna/Voiceline/Grabber4_2";"Text";"";"Today it was a man named Ruben and a boy named Detto.";"Today it was a man named Ruben and a boy named Detto."
"Story/Varuna/Voiceline/Grabber4_3";"Text";"";"They were caught in a storm and needed supplies. ";"They were caught in a storm and needed supplies. "
"Story/Varuna/Voiceline/Grabber4_4";"Text";"";"When they fell asleep I nicked a whole set of tools. Crude stuff. But still good!";"When they fell asleep I nicked a whole set of tools. Crude stuff. But still good!"
"Story/Varuna/Voiceline/Grabber4_5";"Text";"";"In the morning they were so freaked out they sailed away immediately. Hilarious!";"In the morning they were so freaked out they sailed away immediately. Hilarious!"
"Story/Varuna/Voiceline/Grabber5_1";"Text";"";"A man talking to dolls arrived yesterday. I found his loud discussions entertaining. ";"A man talking to dolls arrived yesterday. I found his loud discussions entertaining. "
