"Key";"Type";"Desc";"English";"Українська [uk]";"Svenska [sv]";"Français [fr]";"Italiano [it]";"Deutsch [de]";"Español [es]";"Polski [pl]";"Português-Brasil";"中文 [zh-CN]";"日本語 [ja]";"한국어 [ko]";"Pусский [ru]"
"Story/Vasagatan/OlofsLog3";"Text";;"These ‘lurkers’ have potential. They were clearly once rats, now grown into something much more rabid. Yet also smarter.

I’ve already made progress on their training. With food and pain as incentives I can discipline them. And by sharing their blood the mutations increase. I wonder if another species would react the same? I’ve received a transmission from a place called Caravan Town not far from here.

They have an active animal population. No longer do I need this make-shift crew. I will create true soldiers. Loyal soldiers.
~Olof Wilkstrom";;"Fripassagerarna har potential. De var tveklöst råttor en gång i tiden, men de har blivit vildare. Och smartare.

Jag har redan gjort framsteg med deras träning. Med mat och smärta kan jag disciplinera dem. Genom att dela deras blod tilltar mutationen. Jag undrar om andra arter skulle reagera likadant. Jag har fått ett radiomeddelande från Caravan Town inte långt härifrån.

De har levande djur där. Jag behöver inte mina slashasar längre. Jag ska skapa riktiga soldater. Lojala soldater.
~Olof Wilkström";"Ces « rôdeurs » ont du potentiel. Ce sont clairement d'anciens rats qui ont évolué vers une forme beaucoup plus dangereuse. Plus intelligente, aussi.

Mes tentatives de dressage portent déjà leurs fruits. Ils sont réceptifs aux promesses de nourriture et craignent la douleur. Leurs mutations se développent lorsque leurs sangs entrent en contact. Serait-ce aussi valable pour d'autres espèces ? J'ai capté une transmission d'un endroit nommé Caravane-ville, pas très loin d'ici.

Ils ont beaucoup d'animaux. Mon équipage de bras cassés me sera bientôt inutile. Je vais créer de vrais soldats. Des soldats loyaux.
~Olof Wilkstrom";"Questi “roditori” hanno del potenziale. Un tempo saranno stati certamente dei topi, evolutisi poi in qualcosa di molto più rabbioso. E di più intelligente.

Il loro addestramento sta già dando i suoi frutti e, grazie ad incentivi a base di cibo e dolore, riesco a disciplinarli. Inoltre, condividendone il sangue, le mutazioni aumentano. Mi chiedo se un’altra specie reagirebbe allo stesso modo! Ho ricevuto una comunicazione da un luogo chiamato Caravan Town, non molto distante da qui.

Hanno una popolazione animale attiva. Non ho più bisogno di questo equipaggio improvvisato. Creerò dei veri soldati. Dei soldati leali.
~Olof Wilkstrom";"Diese „Schmarotzer“ haben Potenzial. Sie waren eindeutig einmal Ratten, die jetzt zu etwas viel Tollwütigerem herangewachsen sind. Aber auch schlauer.

Ich habe bereits Fortschritte bei ihrem Training gemacht. Mit Nahrung und Schmerz als Anreiz kann ich sie disziplinieren. Und durch das Teilen ihres Blutes nehmen die Mutationen zu. Ich frage mich, ob eine andere Spezies genauso reagieren würde? Ich habe eine Nachricht von einem Ort namens Caravan Town in der Nähe von hier erhalten.

Sie haben eine aktive Tierpopulation. Ich brauche diese Notbehelfsmannschaft nicht mehr. Ich werde wahre Soldaten erschaffen. Loyale Soldaten.
~Olof Wilkstrom";"Estas alimañas tienen potencial: está claro que antes eran ratas normales y corrientes, pero ahora se han convertido en criaturas más... rabiosas, pero también más inteligentes.

He conseguido buenos resultados entrenándolas y disciplinándolas a través del dolor y la comida. Además, al compartir su sangre, sus mutaciones aumentan. Me pregunto si habrá otras especies que reaccionen igual. He recibido una transmisión de un sitio llamado Ciudad Caravana, no queda lejos de aquí.

Tienen una población animal activa, ya no necesito a esta tripulación de pacotilla. Me crearé mis propios soldados de verdad. Soldados perfectos y leales.
~Olof Wilkstrom";"Te „czyhoszczury” mają potencjał. Najwyraźniej kiedyś były zwykłymi szczurami, tylko wyrosły na znacznie bardziej wściekłe bestie. Ale nabrały też sprytu.

Poczyniłem już postępy w ich szkoleniu. Mogę je kontrolować, odpowiednio dozując jedzenie i ból. A mieszanie się ich krwi sprawia, że wzrasta liczba mutacji. Ciekawe, czy inny gatunek zareagowałby tak samo? Odebrałem transmisję z miejsca zwanego Caravan Town, niedaleko stąd.

Mają aktywną populację zwierząt. Nie potrzebuję już tej namiastki załogi. Stworzę prawdziwych żołnierzy. Lojalnych.
~Olof Wilkstrom";"Esses ""roedores"" têm potencial. Apesar de já terem sido meros ratos, agora evoluíram para algo muito mais raivoso e inteligente.

Já obtive algum progresso no treinamento deles. Com comida e dor como incentivos, posso discipliná-los. Transfundir seu sangue fez com que as mutações aumentassem. Será que outra espécie reagiria da mesma forma? Recebi uma transmissão de um lugar chamado Cidade Caravana, não muito longe daqui.

Eles têm uma fauna ativa. Não preciso mais dessa tripulação improvisada. Vou criar verdadeiros soldados. Soldados leais.
~Olof Wilkstrom";"这些“潜伏者”很有潜力。它们以前显然是老鼠，现在变成了更为狂暴的东西——也变得更聪明了。

对它们的训练已经取得了进展。我用食物和痛苦作为刺激，成功对它们进行了调教。通过分享它们的血液，突变数也增加了。不知道其他物种是否会有同样的反应？我收到了一个信号，来自一个叫大篷车镇的地方，离这里不远。

他们那儿有一群活跃的动物。我不再需要这支临时队伍了。我将创造真正的士兵。忠诚的士兵。
~奥诺夫·威克斯特罗姆";"「ラーカー」たちには可能性がある。元はネズミだった生き物が、今や狂暴な何かに成長している。さらに、知性までも向上しているようだ。

奴らの訓練はすでに進行している。飴と鞭を使い分けることで奴らを統率することができる。そして、血を分かち合うことで突然変異を増やすのだ。他の種族でも同様の反応を見せるのだろうか？私はここからさほど遠くない、キャラバンタウンと呼ばれる場所からの通信を受信した。

そこでは今でも動物が生息しているようだ。その場しのぎの船員たちはもう私には必要ない。私は真の兵士を創造するのだ。忠実なる兵士を。
オロフ・ウィルクストーム";"이 '은둔자'들에게 잠재력이 있다. 한때는 분명 쥐였지만, 이제는 난폭해졌을 뿐만 아니라 한층 더 영리해졌다.

녀석들을 훈련시키는 과정 중에 있다. 식량과 고통을 회유책으로 사용해 훈련시킬 수 있다. 녀석들의 피를 공유해서 돌연변이도 증가하고 있다. 다른 종에게도 똑같이 작용할지 궁금하다. 여기서 멀지 않은 캐러밴 타운에서 신호가 들어왔다.

활발한 동물 사육이 이루어지고 있다고 한다. 이제 더 이상 무능력한 선원들이 필요하지 않게 되었다. 진정한 병사들을 만들어 낼 것이다. 충성스러운 병사들을.
~올로프 윌크스트롬";"А у паразитов есть потенциал. Когда-то они явно были крысами, но с тех пор выросли, обнаглели и поумнели.

Я уже добился некоторых успехов в их дрессировке. Кнут и пряник – все как всегда. Что любопытно, при кровосмешении их мутации усиливаются. Интересно, с другими видами будет так же? Я получил радиосообщение из городка под названием Караван неподалеку отсюда.

У них активная популяция животных. Мне больше не нужен этот бестолковый экипаж. Я создам настоящих солдат. Преданных солдат.
~Улоф Вилкстром"
"Story/Vasagatan/Recording1";"Text";;"(Transcribed)
(Hanne) - “But what does that mean? You can’t just fire them. We’re out at sea!”
(Olof) - “Hanne, you were brought to keep the engines running. That is what you-” 
(Lurker) - *Rabid noises.*
(Hanne) - “That’s one of those damn rats! What are you doing to it?”
(Olof) - “Get out. Do your job.”";;"(Avskrift)
(Hanne) – ”Men vad betyder det? Du kan inte avskeda dem. Vi är mitt ute på havet!”
(Olof) – Ditt jobb är att hålla motorerna vid liv. Det är det du…”
(Fripassagerare) – *Vilda läten*
(Hanne) – ”En av de satans råttorna! Vad… vad gör du med den?”
(Olof) – ”Försvinn. Sköt ditt jobb.”";"(Transcription)
(Hanne) - « Mais qu'est-ce que vous racontez ? Vous ne pouvez pas les renvoyer, nous sommes en pleine mer ! »
(Olof) - « Vous êtes là pour vous occuper des moteurs, Hanne. Veuillez retourner à... »
(Rôdeur) - *Couinements enragés.*
(Hanne) - « Encore un de ces fichus rats ! À quoi jouez-vous avec eux ? »
(Olof) - « Allez-vous-en. Vous avez du travail. »";"(Trascrizione)
(Hanne) - “Ma cosa significa? Non può licenziarli. Siamo in mare aperto!”
(Olof) - “Hanne, sei stata portata qui per tenere in funzione in motori. Ecco a cosa...” 
(Roditore) - *Ringhi rabbiosi.*
(Hanne) - “È uno di quei maledetti topi! Cosa gli stai facendo?”
(Olof) - “Levati di torno. Pensa al tuo lavoro.”";"(Transkribiert)
(Hanne) - „Aber was heißt das? Du kannst sie nicht einfach feuern. Wir sind auf hoher See!“
(Olof) - „Hanne, du wurdest geholt, um die Motoren am Laufen zu halten. Das ist es, was du-“ 
(Schmarotzer) - *Tollwütige Geräusche.*
(Hanne) - „Das ist eine dieser verdammten Ratten! Was machst du damit?“
(Olof) - „Raus. Mach deine Arbeit.“";"(Transcripción)
Hanne: ¿Qué significa eso? No puedes despedirlos así, ¡estamos en alta mar!
Olof: Hanne, tu labor es mantener los motores en marcha. Para eso te...
Alimaña: (gruñidos).
Hanne: ¡Es una de esas puñeteras ratas! ¿Qué le estás haciendo?
Olof: Vete y haz tu trabajo.";"(Transkrypcja)
(Hanne) – „Ale co to znaczy? Jak chcesz ich zwolnić? Jesteśmy na pełnym morzu!”
(Olof) – „Hanne, jesteś tu, żeby dbać o silniki. Po to cię tu…” 
(Czyhoszczur) *wściekłe dźwięki*
(Hanne) – „To jeden z tych cholernych szczurów! Co ty mu robisz?”
(Olof) – „Wynoś się. Wracaj do swojej roboty”.";"(Transcrição)
(Hanne) – ""Mas o que isso quer dizer? Você não pode simplesmente demiti-los. Estamos no meio do mar!""
(Olof) – ""Hanne, você está aqui para manter os motores funcionando. Isso é o que você…"" 
(Roedor) – *Barulhos raivosos.*
(Hanne) – ""É um daqueles malditos ratos! O que você está fazendo?""
(Olof) - ""Saia daqui. Vá cuidar do seu trabalho.""";"（录音）
（汉妮） - “这是什么意思？你不能随便解雇他们。我们在海上！”
（奥诺夫） - ”汉妮，你是来确保发动机运转的。这就是你——“
（潜伏者） - *狂躁的声音*
（汉妮） - “这是那群该死的老鼠中的一只！你对它做了什么？”
（奥诺夫） - “出去。做好你的工作。”";"(書き起こし)
(ハンネ) - 「それってどういう意味？クビにすればいいってものじゃないでしょ。私たちは海の上にいるのよ！」
(オロフ) - 「ハンネ、君はエンジンを動かし続けるためだけに連れてこられたんだ。君はただそれだけの存在だ」
(ラーカー) - *猛烈なノイズ*
(ハンネ) - 「あの厄介なネズミだ！一体コレに何をしたの？」
(オロフ) - 「出ていけ。仕事に戻れ」";"(녹취록)
(한네) - ""그게 무슨 소리예요? 저들을 그냥 해고할 순 없어요. 우린 바다에 떠있다고요!""
(올로프) - ""한네, 네가 할 일은 엔진을 작동시키는 거야. 그게 네-"" 
(은둔자) - *쾅쾅쾅!*
(한네) - ""저건 그 망할 쥐 소리잖아요! 대체 무슨 짓을 하고 있는 거죠?""
(올로프) - ""당장 나가. 네 할 일이나 해.""";"(Расшифровка записи)
(Ханне) – «И что это значит? Вы не можете просто взять и уволить их. Мы в открытом море!»
(Улоф) – «Ханне, твоя задача – обеспечивать работу двигателей. Этим ты и…»
(Паразит) – *Громко возится*
(Ханне) – «Это же проклятая крыса! Что вы с ней делаете?»
(Улоф) – «Разговор окончен. За работу»."
"Story/Vasagatan/Recording2";"Text";;"(Transcribed)
(Captain) - *Knocking* “Wilkstrom, it’s urgent. There’s mist now. We don’t know how far the water’s risen. The maps are useless. We need to-”
(Olof) - “The crew are planning a mutiny, Captain. It is time to act.”
(Captain) - “A mutiny? They’re just trying to stay alive, I- Are you mad?”
(Olof) - “I gave you a chance to live. Now we have to protect ourselves from the masses. We will use the ‘lurkers’ to our advantage.”";;"(Avskrift)
(Kaptenen) – *Knackar* ”Wilkström, det är viktigt. Det är dimmigt. Vi vet inte hur högt vattnet stigit. Kartorna är värdelösa. Vi måste…”
(Olof) – ”Besättningen planerar myteri. Vi måste agera.”
(Kaptenen) – ”Myteri? De försöker bara överleva, jag… Är du helt från vettet?”
(Olof) – ”Jag gav dig chansen att leva. Nu måste vi skydda oss från massorna. Vi ska dra nytta av fripassagerarna.”";"(Transcription)
(Capitaine) - *Frappe à la porte* « Wilkstrom, c'est urgent. Nous sommes entourés de brume. Nous ne voyons pas le niveau de l'eau. Les cartes ne sont d'aucune aide. Il faut que... »
(Olof) - « L'équipage prévoit une mutinerie, capitaine. Nous devons agir. »
(Capitaine) - « Une mutinerie ? Ils essaient juste de survivre, je... Vous êtes fou ? »
(Olof) - « Je vous ai sauvé la vie. Nous devons nous protéger de ces moins-que-rien. Nous utiliserons les ""rôdeurs"" à notre avantage. »";"(Trascrizione)
(Capitano) - *Bussa* “Wilkstrom, è urgente. La nebbia ci impedisce di capire di quanto è salito il livello dell’acqua. Le mappe sono inutili. Dobbiamo...”
(Olof) - “L’equipaggio sta pianificando un ammutinamento, Capitano. È il momento di agire.”
(Capitano) - “Un ammutinamento? Stanno solo cercando di sopravvivere... È forse impazzito?”
(Olof) - “Vi ho dato la possibilità di sopravvivere. Ora dobbiamo proteggerci dalle masse. Useremo i ‘roditori’ a nostro vantaggio.”";"(Transkribiert)
(Captain) – *Klopfen* „Wilkstrom, es ist dringend. Jetzt ist Nebel. Wir wissen nicht, wie weit das Wasser gestiegen ist. Die Karten sind nutzlos. Wir müssen-“
(Olof) – „Die Crew plant eine Meuterei, Captain. Es ist Zeit zu handeln.“
(Captain) - „Eine Meuterei? Sie versuchen nur, am Leben zu bleiben, ich- bist du verrückt?“
(Olof) – „Ich habe dir eine Chance gegeben zu leben. Jetzt müssen wir uns vor den Massen schützen. Wir werden die ‚Schmarotzer‘ zu unserem Vorteil nutzen.“";"(Transcripción)
Capitán: (tocando a la puerta) Wilkstrom, es urgente, se ha levantado niebla y no sabemos cuánto ha subido la marea. Los mapas no sirven de nada. Tenemos que...
Olof: La tripulación está planeando un motín, capitán, tenemos que hacer algo al respecto.
Capitán: ¿Un motín? Solo están intentando seguir con vida. Acaso... ¿Acaso has perdido la cabeza?
Olof: Os di una oportunidad para seguir con vida, y ahora tenemos que protegernos de las masas. Va siendo hora de sacarles provecho a esas alimañas...";"(Transkrypcja)
(Kapitan) – *pukanie* „Wilkstrom, to pilne. Jest mgła. Nie wiemy, jak bardzo podniosła się woda. Mapy są bezużyteczne. Musimy…”
(Olof) – „Załoga planuje bunt, kapitanie. Pora działać”.
(Kapitan) – „Bunt? Chcą po prostu przeżyć. Ja… Czyś ty oszalał?”
(Olof) – „Dałem panu szansę na przeżycie. Teraz musimy się chronić przed tłuszczą. Wykorzystamy te czyhoszczury na naszą korzyść”.";"(Transcrição)
(Capitão) – *Batidas* ""Wilkstrom, é urgente. Temos névoa, e não sabemos até que ponto a água subiu. Os mapas são inúteis. Precisamos…""
(Olof) – ""A tripulação está planejando um motim, Capitão. É hora de agir.""
(Capitão) – ""Um motim? Eles só estão tentando sobreviver… Você está louco?""
(Olof) – ""Eu te dei uma chance de viver. Agora temos que nos proteger das massas. Usaremos os 'roedores' a nosso favor.""";"（录音）
（船长） - *敲门* “威克斯特罗姆，紧急情况。起雾了，我们不知道水位上升了多少。地图完全没有用。我们需要——”
（奥诺夫） - “船员们正在密谋叛变，船长。现在该采取行动了。”
（船长） - “叛变？他们只是想活下去，我——你疯了吗？”
（奥诺夫） - “我给了你一个活下去的机会。现在我们要利用'潜伏者'，保护自己不受乌合之众的影响。”";"(書き起こし)
(船長) - *コンコン*  「緊急事態だウィルクストーム。霧が出ている。波の高さが分からなくなった。地図も役に立たない。なんとかしなければ」
(オロフ) - 「船員が反乱を企てている。船長、今こそ行動を起こす時だ」
(船長) - 「は、反乱？みな必死に生き延びようとしているだけじゃないか。あんた、どうかしてるよ」
(オロフ) - 「君に生き延びるチャンスをやったんだ。今は、大衆から自分自身を守らなければならない。『ラーカー』をうまく利用しようじゃないか」";"(녹취록)
(선장) - 똑똑똑. ""윌크스트롬, 급한 일이야. 안개가 꼈어. 물이 얼마나 올라갔는지 알 수가 없어. 지도는 무용지물이야. 지금 바로-""
(올로프) - ""선원들이 반란을 계획하고 있네, 선장. 움직일 시간이야.""
(선장) - ""반란? 선원들은 그저 살아남으려고 하는 겁니다. 정신 나간 거 아닙니까?""
(올로프) - ""난 네가 살아남을 기회를 준 거야. 이제 우리는 스스로 살아남아야 해. '은둔자'들을 이용해 보자고.""";"(Расшифровка записи)
(Капитан) – *Стучится* «Вилкстром, это срочно. Туман сгустился. Мы не знаем, насколько поднялась вода. От карт нет толку. Мы должны…»
(Улоф) – «Капитан, экипаж замышляет бунт. Время действовать».
(Капитан) – «Бунт? Они просто пытаются выжить, я… Вы в своем уме?»
(Улоф) – «Я дал вам шанс выжить. Теперь мы должны защитить себя от масс. Для этого мы используем паразитов»."
"Story/Vasagatan/Recording3";"Text";;"(Transcribed)
[The ship’s hull grinding against solid rock.]
(Captain) - “Get to the lifeboats! Hurry!”
(Hanne) - “Olof! You coward!”
(Lurker) - *Aggressive snarl.*
(Captain) - “Watch out!”
[Distorted screams are heard before the tape cuts off.]";;"(Avskrift)
[Skrovet skrapar mot klippor.]
(Kaptenen) – ”Till livbåtarna! Skynda!”
(Hanne) – ”Olof! Din ynkrygg!”
(Fripassagerare) – *Fräser aggressivt*
(Kaptenen) – ”Se upp!”
[Förvrängda skrik hörs innan inspelningen avbryts.]";"(Transcription)
[La coque du bateau crisse contre des rochers.]
(Capitaine) - « Tous aux canots de sauvetage ! Vite ! »
(Hanne) - « Olof ! Espèce de lâche ! »
(Rôdeur) - *Grondement rageur.*
(Capitaine) - « Attention ! »
[Des cris assourdis résonnent avant que la cassette ne s'arrête.]";"(Trascrizione)
*Lo scafo della nave si infrange contro una roccia solida*
(Capitano) - “Alle scialuppe di salvataggio! Presto!”
(Hanne) - “Olof! Vigliacco!”
(Roditore) - *Ringhio aggressivo*
(Capitano) - “Attenzione!”
*Urla confuse prima dell’interruzione della registrazione*";"(Transkribiert)
[The ship’s hull grinding against solid rock.]
(Captain) - „Los! Zu den Rettungsbooten! Beeilt euch!“
(Hanne) - „Olof! Du Feigling!“
(Schmarotzer) – *Aggressives Knurren.*
(Captain) – „Pass auf!“
[Distorted screams are heard before the tape cuts off.]";"(Transcripción)
[El casco del barco roza con la roca del lecho marino].
Capitán: ¡Aprisa! ¡A los botes salvavidas!
Hanne: Olof, ¡maldito cobarde!
Alimaña: (gruñidos agresivos).
Capitán: ¡Cuidado!
[Se oyen gritos distorsionados y se corta la cinta].";"(Transkrypcja)
(Kadłub statku ociera się o skały).
(Kapitan) – „Do szalup! Szybko!”
(Hanne) – „Olof! Ty tchórzu!”
(Czyhoszczur) *agresywne warknięcie*
(Kapitan) – „Uwaga!”
(Przed ustaniem nagrania słychać zniekształcone krzyki).";"(Transcrição)
*Casco do navio se destroçando contra as rochas.*
(Capitão) – ""Para os botes! Agora!""
(Hanne) – ""Olof! Seu covarde!""
(Roedor) – *Grunhido agressivo.*
(Capitão) - ""Cuidado!""
*Gritos distorcidos antes do fim da gravação.*";"（录音）
[The ship’s hull grinding against solid rock.]
（船长） - “去救生艇上！快点！”
（汉妮） - “奥诺夫！你这个懦夫！”
（潜伏者）- *挑衅的咆哮*
（船长） - “小心！”
[Distorted screams are heard before the tape cuts off.]";"(書き起こし)
[The ship’s hull grinding against solid rock.]
(船長) - 「救命ボートに乗るんだ！急げ！」
(ハンネ) - 「オロフ！この卑怯者！」
(ラーカー) - *攻撃的な唸り声*
(船長) - 「気をつけろ！」
[Distorted screams are heard before the tape cuts off.]";"(녹취록)
[선체가 바위에 갈리고 있다.]
(선장) - ""구명정에 올라타! 빨리!""
(한네) - ""올로프! 이 겁쟁이야!""
(은둔자) - ""키야야악!""
(선장) - ""조심해!""
[잡음 섞인 비명소리가 들리다 테이프가 끝난다.]";"(Расшифровка записи)
*Скрип корпуса корабля при контакте со скалой*
(Капитан) – «По шлюпкам! Живо!»
(Ханне) – «Улоф! Подлый трус!»
(Паразит) – *Злобно рычит*
(Капитан) – «Берегись!»
*Неразборчивые крики, запись обрывается*"
"Story/Vasagatan/Voiceline/HannesLetter1_1";"Text";;"I heard from the captain we’re heading for one of the high-rises down south.";;"Jag hörde från kaptenen att vi är på väg mot en av skyskraporna söderut.";"J'ai entendu le capitaine dire que nous nous dirigeons vers l'un des gratte-ciel du sud.";"Ho saputo dal capitano che ci stiamo dirigendo verso uno dei grattacieli a sud.";"Ich habe vom Captain gehört, dass wir auf eines der Hochhäuser im Süden zusteuern.";"El capitán ha mencionado que estamos poniendo rumbo a uno de los rascacielos del sur.";"Słyszałam od kapitana, że zmierzamy do jednego z wieżowców na południu.";"Ouvi do Capitão que estamos indo para um dos arranha-céus ao sul.";"我听船长说，我们要前往南部的一座高楼。";"私たちは南へ下り高層建築物を目指す、と船長から聞かされた。";"선장이 말하길, 우린 남쪽의 고층 건물로 가고 있다고 해.";"Капитан говорит, мы направляемся к одной из южных возвышенностей."
"Story/Vasagatan/Voiceline/HannesLetter1_2";"Text";;"I can only hope you come to your senses and follow us. You knew the city was a failure, Ruben.";;"Jag kan bara hoppas att du tar ditt förnuft till fånga och följer oss. Du vet att stan var ett misslyckande, Ruben.";"J'espère sincèrement que tu vas reprendre tes esprits et nous suivre. Tu savais très bien que cette ville était une cause perdue, Ruben.";"La mia unica speranza è che tu rinsavisca e ci segua. Sapevi che la città si sarebbe rivelata un fallimento, Ruben.";"Ich kann nur hoffen, dass du zur Besinnung kommst und uns folgst. Du wusstest, dass die Stadt ein Misserfolg war, Ruben.";"Espero que atiendas a razones y decidas seguirnos. Sabes que la ciudad ha todo un fracaso, Ruben.";"Mam nadzieję, że oprzytomniejesz i udasz się za nami. Ruben, wiedziałeś, że miasto okazało się klapą.";"Agora, só o que posso fazer é esperar que você caia em si e nos siga. Você sabia que a cidade era um fracasso, Ruben.";"我只能希望你恢复理智，跟我们一起走。你知道这座城市失败了，鲁本。";"正気に戻って一緒に来てほしい。私があなたに望むのはそれだけ。ルーベン、街は失敗だったって分かってるんでしょう。";"네가 정신을 차리고 우릴 따라오기만을 바란다";"Надеюсь, ты одумаешься и последуешь за нами. Рубен, ты же знал, что этот город обречен."
"Story/Vasagatan/Voiceline/HannesLetter1_3";"Text";;"Why do you always have to be so stubborn? ";;"Varför måste du alltid vara så envis? ";"Pourquoi es-tu toujours si obstiné ? ";"Perché devi essere sempre così testardo? ";"Warum musst du immer so stur sein? ";"¿Por qué tienes que ser tan cabezota? ";"Czemu zawsze musisz być taki uparty? ";"Por que você precisa sempre ser tão teimoso? ";"为什么你总要这么固执？ ";"どうしていつもそんなに頑固なの？ ";"왜 그렇게 고집을 부리는 거야? ";"Почему ты всегда такой упрямый? "
"Story/Vasagatan/Voiceline/HannesLetter2_1";"Text";;"Ruben, The yacht is ill prepared for this journey.";;"Ruben, yachten klarar inte resan.";"Ruben, Le yacht n'est pas prêt pour ce voyage.";"Ruben, lo yacht non è attrezzato per affrontare un simile viaggio.";"Ruben, die Yacht ist für diese Reise schlecht vorbereitet.";"Ruben, el yate no está preparado para este viaje.";"Ruben, jacht nie nadaje się do tej podróży.";"Ruben, o iate não está preparado para esta viagem.";"鲁本，游艇并没有做足应对旅程的准备。";"ルーベン、このヨットは準備不足だよ。";"루벤, 요트는 이번 항해에 대비가 안된 상태야.";"Рубен, яхта плохо подготовлена к плаванию."
"Story/Vasagatan/Voiceline/HannesLetter2_2";"Text";;"Olof left space for a dance floor, but no space for supplies. ";;"Olof gjorde plats för ett dansgolv, men inte för sånt vi behöver. ";"Olof a prévu une piste de dance, mais aucun entrepôt pour les vivres. ";"Olof si è assicurato che ci fosse spazio per una pista da ballo ma non per le provviste. ";"Olof ließ Platz für eine Tanzfläche, aber keinen Platz für Vorräte. ";"Olof ha hecho espacio para colocar una pista de baile, no para suministros. ";"Olof przewidział miejsce na parkiet do tańca, ale nie na zapasy. ";"Olof deixou espaço para uma pista de dança, mas nem pensou em armazenar suprimentos. ";"奥诺夫给舞池留了空间，却没有地方存放物资。 ";"オロフはダンスフロア用のスペースは残したのに物資用のスペースは作らなかった。 ";"올로프가 무도장을 만들 공간은 남겨뒀는데, 보급품을 넣을 공간이 없어 ";"Улоф оставил место для танцплощадки, но не для припасов. "
"Story/Vasagatan/Voiceline/HannesLetter2_3";"Text";;"The bottles sure found their way to the bar. ";;"Flaskorna letade sig naturligtvis till baren. ";"Le stock de bouteilles du bar est bien rempli, par contre... ";"E pure le bottiglie hanno trovato un modo per arrivare al bar. ";"Die Flaschen fanden sicher ihren Weg zur Bar. ";"Bueno, lo que sí se esmeró en guardar fueron las botellas del bar. ";"Chociaż butelki z pewnością trafiły do baru. ";"As garrafas, óbvio, já estão no bar. ";"酒瓶被运到了吧台。 ";"酒のボトルはしっかりとバーに運ばれていったよ。 ";"그래도 술병들은 제자릴 찾았어. ";"Зато бар забит выпивкой. "
"Story/Vasagatan/Voiceline/HannesLetter2_4";"Text";;"As a military man I thought Olof would at the very least be practical.";;"Jag förväntade mig mer praktiskt tänkande från en militär som Olof.";"Avec son expérience militaire, je pensais qu'Olof serait quelqu'un de pragmatique. J'avais tort.";"Essendo un uomo d’armi, mi aspettavo che Olof avesse ben chiare le priorità...";"Als Soldat dachte ich, Olof wäre zumindest praktisch veranlagt.";"Olof fue soldado, así que me esperaba que sería más sensato.";"Sądziłam, że jako wojskowy Olof będzie przynajmniej praktyczny.";"Como militar, pensei que Olof seria, no mínimo, prático.";"我以为奥诺夫作为一名军人，会着眼现实。";"私は軍人のオロフなら最低限うまくやってくれると思ったんだけど…。";"군인의 눈으로 보자면, 올로프는 적어도 실용적인 편인 거 같아.";"Я думала, Улоф будет практичней, раз уж он военный."
"Story/Vasagatan/Voiceline/HannesLetter2_5";"Text";;"Yet they’re all treating it like a luxury cruise.";;"Trots det kan man tro att vi ska på lyxkryssning.";"Tout le monde se comporte comme si nous partions en croisière de luxe.";"e invece sembra di essere a bordo di una nave da crociera di lusso!";"Trotzdem behandeln sie es alle wie eine Luxuskreuzfahrt.";"Sin embargo, tratan el yate como si fuera una embarcación de lujo.";"Tymczasem oni wszyscy traktują to jak luksusowy rejs.";"No entanto, todos tratam isso como um cruzeiro de luxo.";"但他们都把这当成了一次豪华游轮之旅。";"彼らはヨットを豪華客船か何かと勘違いしているかのように扱っているわ。";"모두들 요트를 럭셔리 크루즈처럼 대한다니까.";"Но они все думают, будто это роскошный круиз."
"Story/Vasagatan/Voiceline/HannesLetter2_6";"Text";;"I’m sorry, Ruben. I shouldn't have left.";;"Förlåt, Ruben. Jag borde inte ha stuckit.";"Je suis désolée, Ruben. Je n'aurais pas dû te quitter.";"Mi dispiace, Ruben. Non sarei dovuta andarmene.";"Tut mir leid, Ruben. Ich hätte nicht gehen sollen.";"Lo siento, Ruben, no debería haberme marchado.";"Przepraszam, Ruben. Nie powinnam była odchodzić.";"Sinto muito, Ruben. Eu não deveria ter ido embora.";"我很抱歉，鲁本。我不应该离开。";"ごめんね、ルーベン。あなたを置いていくべきじゃなかった。";"미안해, 루벤. 그냥 떠나지 말았어야 했는데.";"Прости, Рубен. Не стоило мне тебя бросать."
"Story/Vasagatan/Voiceline/HannesLetter3_1";"Text";;"I saw a large rat last night… Unnervingly large. ";;"Jag såg en stor råtta igår kväll… Fruktansvärt stor. ";"Hier soir, j'ai vu un gros rat... Vraiment, vraiment gros. ";"L’altra notte ho visto un topo a dir poco enorme. ";"Ich habe letzte Nacht eine große Ratte gesehen … Erschreckend groß. ";"Vi una rata enorme ayer por la noche... Era asquerosamente grande. ";"Zeszłej nocy widziałam dużego szczura… Niepokojąco dużego. ";"Eu vi um rato bem grande ontem à noite… Até deu nervoso. ";"昨晚我看到一只大老鼠……大到令人难以置信。 ";"昨夜大きなネズミを見た。ぞっとするほどの大きさだった。 ";"지난밤에 거대한 쥐를 봤어... 할 말을 잃게 만드는 크기야. ";"Вчера ночью я видела огромную крысу… Пугающе огромную. "
